Sno,BHK,Property,Beds,Baths,Balcony,Address,City,State,Country,Landmarks
1,6,Single Family,6,5,1,1867 N Burling Street,Chicago,IL,USA,Lincoln Park
2,10,Single Family,10,8,1,2026 N Kenmore Avenue,Chicago,IL,USA,Lincoln Park
3,3,Condominium,3,4,1,"500 W Superior Street, #2703",Chicago,IL,USA,Near North Side
4,6,Single Family,6,6,1,52 E BELLEVUE Place,Chicago,IL,USA,Near North Side
5,5,Single Family,5,6,,1970 N Burling Street,Chicago,IL,USA,Lincoln Park
6,6,Single Family,6,6,1,1521 N State Parkway,Chicago,IL,USA,Near North Side
7,3,Condominium,3,3,2,"159 E WALTON Place, #31A",Chicago,IL,USA,Near North Side
8,5,Single Family,5,5,,2325 N Cleveland Avenue,Chicago,IL,USA,Lincoln Park
9,3,Condominium,3,3,,"159 E Walton Place, #22A",Chicago,IL,USA,Near North Side
10,4,Condominium,4,4,2,"9 W Walton Street, #2902",Chicago,IL,USA,Near North Side
11,5,Single Family,5,4,2,1856 N Mohawk Street,Chicago,IL,USA,Lincoln Park
12,4,Single Family,4,4,1,401 W Dickens Avenue,Chicago,IL,USA,Lincoln Park
13,6,Single Family,6,5,,362 Copa De Oro Rd,Los Angeles,CA,USA,Los Angeles
14,9,Single Family,9,13,,10936 Chalon Rd,Los Angeles,CA,USA,Los Angeles
15,9,Estate,9,13,1,1859 Bel Air Rd,Los Angeles,CA,USA,Los Angeles
16,6,Single Family,6,6,2,0 Copa De Oro Rd,Los Angeles,CA,USA,Los Angeles
17,5,Estate,5,8,,1680 N Doheny Dr,Los Angeles,CA,USA,Los Angeles
18,6,Single Family,6,9,2,615 N Faring Rd,Los Angeles,CA,USA,Los Angeles
19,5,Single Family,5,6,2,10801 Chalon Rd,Los Angeles,CA,USA,Los Angeles
20,6,Single Family,6,4,1,1504 N Kenter Ave,Los Angeles,CA,USA,Los Angeles
21,6,Single Family,6,7,1,1055 Stradella Rd,Los Angeles,CA,USA,Los Angeles
22,32,multi-unit,32,42,1,2391 Roscomare Rd,Los Angeles,CA,USA,Los Angeles
23,8,Single Family,8,12,1,10710 Chalon Rd,Los Angeles,CA,USA,Los Angeles
24,1,Single Family,1,1,2,2125 Puerto Del Mundo,CA,CA,USA,Fallbrook
25,5,Single Family,5,4,,35 Payne,Portland,CT,USA,Portland
26,2,Co-op,2,1,,"2440 Amsterdam Avenue, #5N",New York,NY,USA,Washington Heights
27,6,Single Family,6,4,1,863 Riverside Drive,New York,NY,USA,Washington Heights
28,4,Co-op,4,4,,"CASTLE VILLAGE, #40/48/49",New York,NY,USA,Hudson Heights
29,4,Co-op,4,3,1,"140 Cabrini Boulevard 111-112, #111112",New York,NY,USA,Hudson Heights
30,6,Single Family,6,4,,912 St Nicholas Avenue,New York,NY,USA,Washington Heights
31,623,,623,,1,"THE RIVIERA, #11G",New York,NY,USA,Washington Heights
32,15,Villas / Townhouses,15,6,1,546 West 165th Street,New York,NY,USA,Washington Heights
33,6,Single Family,6,3,1,549 West 187th Street,New York,NY,USA,Washington Heights
34,2,Single Family,2,2,1,11 Sylvan Terrace,New York,NY,USA,Washington Heights
35,4,Co-op,4,3,,"800 Riverside Drive 6E, #6E",New York,NY,USA,Washington Heights
36,623,,623,,,"AMMANN, #PH8A",New York,NY,USA,Hudson Heights
37,578,Land/Lot,578,,2,5 Red Rock Island,San Francisco,CA,USA,San Francisco
38,3,Condominium,3,3,2,"338 Spear Street, #35D",San Francisco,CA,USA,San Francisco
39,2,Condominium,2,2,1,"239 Brannan Street, #10G",San Francisco,CA,USA,San Francisco
40,2,Condominium,2,1,,211 Cole Street,San Francisco,CA,USA,San Francisco
41,2,Condominium,2,1,2,209 Cole Street,San Francisco,CA,USA,San Francisco
42,2,Condominium,2,2,,"72 Townsend Street, #402",San Francisco,CA,USA,San Francisco
43,3,Single Family,3,2,2,509 Liberty Avenue,Brooklyn,NY,USA,East New York
44,10,Single Family,10,4,1,321 Milford Street,Brooklyn,NY,USA,East New York
45,9,Villas / Townhouses,9,6,,619 Emerald Street,Brooklyn,NY,USA,East New York
46,10,Single Family,10,4,1,750 Glenmore Avenue,Brooklyn,NY,USA,East New York
47,8,Single Family,8,3,2,297 Pennsylvania Avenue,Brooklyn,NY,USA,East New York
48,6,Single Family,6,3,1,690 Vermont Street,Brooklyn,NY,USA,East New York
49,7,Single Family,7,3,,427 Pennsylvania Avenue,Brooklyn,NY,USA,East New York
50,4,Single Family,4,3,2,914 Pine Street,Brooklyn,NY,USA,East New York
51,7,Single Family,7,3,,731 Wyona Street,Brooklyn,NY,USA,East New York
