Sno,Carpet,Status,Floor,Transaction,Year,Price
1,9000,ACTIVE,1,FOR SALE,2024,1111
2,13400,ACTIVE,2,FOR SALE,1885,746
3,10000,ACTIVE,2,NEW LISTING FOR SALE,2007,890
4,,,3,FOR SALE,1885,
5,7800,ACTIVE,1,FOR SALE,1931,997
6,9700,ACTIVE,,FOR SALE,1894,794
7,5500,ACTIVE,,FOR SALE,1929,1364
8,7900,ACTIVE,2,FOR SALE,1995,930
9,5500,ACTIVE,3,FOR SALE,1928,1272
10,4420,ACTIVE,,FOR SALE PRICE REDUCED,2018,1578
11,8700,ACTIVE,1,FOR SALE,2006,793
12,7252,ACTIVE,,NEW LISTING FOR SALE,1997,909
13,11664,ACTIVE,1,FEATURED LISTING,1937,2314
14,165,ACTIVE,,NEW LISTING FOR SALE,2015,7697
15,16,ACTIVE,1,FOR SALE,,2900
16,11664,ACTIVE,1,FOR SALE,2008,3855
17,117,ACTIVE,,FOR SALE,2015,3185
18,17661,ACTIVE,2,FOR SALE PRICE REDUCED,2023,2208
19,3795,ACTIVE,2,FOR SALE,1955,8933
20,11461,ACTIVE,,NEW LISTING FOR SALE,2024,2618
21,13600,ACTIVE,2,FOR SALE,2023,2202
22,49,ACTIVE,,FOR SALE,2017,736
23,,,2,NEW LISTING FOR SALE,1950,
24,2268,ACTIVE,3,FOR SALE,2006,1278
25,5909,ACTIVE,,FOR SALE PRICE REDUCED,1991,338
26,,,1,FOR SALE,1923,600
27,,ACTIVE,,NEW LISTING FOR SALE,1909,
28,,ACTIVE,1,NEW LISTING FOR SALE,1939,5924
29,,ACTIVE,,FOR SALE,1939,4824
30,,ACTIVE,4,FOR SALE PRICE REDUCED,1899,576
31,,ACTIVE,4,OPEN HOUSE FOR SALE,2363,
32,,ACTIVE,,FOR SALE PRICE REDUCED,1910,
33,,ACTIVE,,FOR SALE,1920,949
34,,ACTIVE,,FOR SALE,1899,434
35,,ACTIVE,,FOR SALE,1911,2149
36,,ACTIVE,2,OPEN HOUSE FOR SALE,1976,
37,,,,FOR SALE,2015,
38,175,ACTIVE,2,NEW LISTING FOR SALE,2009,1731
39,19,ACTIVE,,NEW LISTING FOR SALE,2002,1186
40,,ACTIVE,2,SALE UNDER CONTRACT,1906,
41,,ACTIVE,,SALE UNDER CONTRACT,1906,
42,,ACTIVE,3,FOR SALE,2008,1005
43,,ACTIVE,3,FOR SALE,,2094
44,,ACTIVE,,FOR SALE,1925,305
45,,ACTIVE,1,FOR SALE,2005,2860
46,,ACTIVE,1,FOR SALE,1925,2538
47,,ACTIVE,1,FOR SALE,1910,262
48,,ACTIVE,,FOR SALE,,436
49,,ACTIVE,1,FOR SALE,1901,4201
50,,ACTIVE,2,FOR SALE,2006,625
51,,ACTIVE,2,NEW LISTING FOR SALE,1930,438
52,,,1,FOR SALE,,
53,,ACTIVE,,FOR SALE - ACTIVE,1972,424
54,,ACTIVE,,FOR SALE - ACTIVE,1927,338
55,1100,ACTIVE,,FOR SALE - ACTIVE,2001,350
56,700,ACTIVE,,FOR SALE - ACTIVE,1971,457
57,730,ACTIVE,,FOR SALE - ACTIVE,2002,397
58,1450,ACTIVE,,FOR SALE - ACTIVE,2008,345
59,2879,ACTIVE,,FOR SALE - ACTIVE,1927,677
60,2507,ACTIVE,,FOR SALE - ACTIVE,2024,568
61,860,ACTIVE,,FOR SALE - ACTIVE,1984,
62,1880,ACTIVE,,FOR SALE - ACTIVE,1960,478
63,3270,ACTIVE,,FOR SALE - ACTIVE,1930,336
64,949,ACTIVE,,FOR SALE - ACTIVE,2024,390
65,1065,ACTIVE,,FOR SALE - ACTIVE,2009,704
66,1500,COMING SOON,,COMING SOON ON JUN 25,2024,567
67,1400,COMING SOON,,COMING SOON ON JUL 19,1920,999
68,1889,ACTIVE,,FOR SALE - ACTIVE,1928,740
69,1409,ACTIVE,,FOR SALE - ACTIVE,1971,709
70,2071,ACTIVE,,FOR SALE - ACTIVE,2001,869
71,1106,ACTIVE,,FOR SALE - ACTIVE,2007,325
72,1243,ACTIVE,,FOR SALE - ACTIVE,1958,382
73,1305,ACTIVE,,FOR SALE - ACTIVE,2000,360
74,1924,ACTIVE,,FOR SALE - ACTIVE,1997,251
75,9000,ACTIVE,1,FOR SALE,2024,1111
76,13400,ACTIVE,2,FOR SALE,1885,746
77,10000,ACTIVE,2,NEW LISTING FOR SALE,2007,890
78,,,3,FOR SALE,1885,
79,7800,ACTIVE,1,FOR SALE,1931,997
80,9700,ACTIVE,,FOR SALE,1894,794
81,5500,ACTIVE,,FOR SALE,1929,1364
82,7900,ACTIVE,2,FOR SALE,1995,930
83,5500,ACTIVE,3,FOR SALE,1928,1272
84,4420,ACTIVE,,FOR SALE PRICE REDUCED,2018,1578
85,8700,ACTIVE,1,FOR SALE,2006,793
86,7252,ACTIVE,,NEW LISTING FOR SALE,1997,909
87,11664,ACTIVE,1,FEATURED LISTING,1937,2314
88,165,ACTIVE,,NEW LISTING FOR SALE,2015,7697
89,16,ACTIVE,1,FOR SALE,,2900
90,11664,ACTIVE,1,FOR SALE,2008,3855
91,117,ACTIVE,,FOR SALE,2015,3185
92,17661,ACTIVE,2,FOR SALE PRICE REDUCED,2023,2208
93,3795,ACTIVE,2,FOR SALE,1955,8933
94,11461,ACTIVE,,NEW LISTING FOR SALE,2024,2618
95,13600,ACTIVE,2,FOR SALE,2023,2202
96,49,ACTIVE,,FOR SALE,2017,736
97,,,2,NEW LISTING FOR SALE,1950,
98,2268,ACTIVE,3,FOR SALE,2006,1278
99,5909,ACTIVE,,FOR SALE PRICE REDUCED,1991,338
100,,,1,FOR SALE,1923,600
101,,ACTIVE,,NEW LISTING FOR SALE,1909,
102,,ACTIVE,1,NEW LISTING FOR SALE,1939,5924
103,,ACTIVE,,FOR SALE,1939,4824
104,,ACTIVE,4,FOR SALE PRICE REDUCED,1899,576
105,,ACTIVE,4,OPEN HOUSE FOR SALE,2363,
106,,ACTIVE,,FOR SALE PRICE REDUCED,1910,
107,,ACTIVE,,FOR SALE,1920,949
108,,ACTIVE,,FOR SALE,1899,434
109,,ACTIVE,,FOR SALE,1911,2149
110,,ACTIVE,2,OPEN HOUSE FOR SALE,1976,
111,,,,FOR SALE,2015,
112,175,ACTIVE,2,NEW LISTING FOR SALE,2009,1731
113,19,ACTIVE,,NEW LISTING FOR SALE,2002,1186
114,,ACTIVE,2,SALE UNDER CONTRACT,1906,
115,,ACTIVE,,SALE UNDER CONTRACT,1906,
116,,ACTIVE,3,FOR SALE,2008,1005
117,,ACTIVE,3,FOR SALE,,2094
118,,ACTIVE,,FOR SALE,1925,305
119,,ACTIVE,1,FOR SALE,2005,2860
120,,ACTIVE,1,FOR SALE,1925,2538
121,,ACTIVE,1,FOR SALE,1910,262
122,,ACTIVE,,FOR SALE,,436
123,,ACTIVE,1,FOR SALE,1901,4201
124,,ACTIVE,2,FOR SALE,2006,625
125,,ACTIVE,2,NEW LISTING FOR SALE,1930,438
126,,,1,FOR SALE,,
127,,ACTIVE,,FOR SALE - ACTIVE,1972,424
128,,ACTIVE,,FOR SALE - ACTIVE,1927,338
129,1100,ACTIVE,,FOR SALE - ACTIVE,2001,350
130,700,ACTIVE,,FOR SALE - ACTIVE,1971,457
131,730,ACTIVE,,FOR SALE - ACTIVE,2002,397
132,1450,ACTIVE,,FOR SALE - ACTIVE,2008,345
133,2879,ACTIVE,,FOR SALE - ACTIVE,1927,677
134,2507,ACTIVE,,FOR SALE - ACTIVE,2024,568
135,860,ACTIVE,,FOR SALE - ACTIVE,1984,
136,1880,ACTIVE,,FOR SALE - ACTIVE,1960,478
137,3270,ACTIVE,,FOR SALE - ACTIVE,1930,336
138,949,ACTIVE,,FOR SALE - ACTIVE,2024,390
139,1065,ACTIVE,,FOR SALE - ACTIVE,2009,704
140,1500,COMING SOON,,COMING SOON ON JUN 25,2024,567
141,1400,COMING SOON,,COMING SOON ON JUL 19,1920,999
142,1889,ACTIVE,,FOR SALE - ACTIVE,1928,740
143,1409,ACTIVE,,FOR SALE - ACTIVE,1971,709
144,2071,ACTIVE,,FOR SALE - ACTIVE,2001,869
145,1106,ACTIVE,,FOR SALE - ACTIVE,2007,325
146,1243,ACTIVE,,FOR SALE - ACTIVE,1958,382
147,1305,ACTIVE,,FOR SALE - ACTIVE,2000,360
148,1924,ACTIVE,,FOR SALE - ACTIVE,1997,251
149,9000,ACTIVE,1,FOR SALE,2024,1111
150,13400,ACTIVE,2,FOR SALE,1885,746
151,10000,ACTIVE,2,NEW LISTING FOR SALE,2007,890
152,,,3,FOR SALE,1885,
153,7800,ACTIVE,1,FOR SALE,1931,997
154,9700,ACTIVE,,FOR SALE,1894,794
155,5500,ACTIVE,,FOR SALE,1929,1364
156,7900,ACTIVE,2,FOR SALE,1995,930
157,5500,ACTIVE,3,FOR SALE,1928,1272
158,4420,ACTIVE,,FOR SALE PRICE REDUCED,2018,1578
159,8700,ACTIVE,1,FOR SALE,2006,793
160,7252,ACTIVE,,NEW LISTING FOR SALE,1997,909
161,11664,ACTIVE,1,FEATURED LISTING,1937,2314
162,165,ACTIVE,,NEW LISTING FOR SALE,2015,7697
163,16,ACTIVE,1,FOR SALE,,2900
164,11664,ACTIVE,1,FOR SALE,2008,3855
165,117,ACTIVE,,FOR SALE,2015,3185
166,17661,ACTIVE,2,FOR SALE PRICE REDUCED,2023,2208
167,3795,ACTIVE,2,FOR SALE,1955,8933
168,11461,ACTIVE,,NEW LISTING FOR SALE,2024,2618
169,13600,ACTIVE,2,FOR SALE,2023,2202
170,49,ACTIVE,,FOR SALE,2017,736
171,,,2,NEW LISTING FOR SALE,1950,
172,2268,ACTIVE,3,FOR SALE,2006,1278
173,5909,ACTIVE,,FOR SALE PRICE REDUCED,1991,338
174,,,1,FOR SALE,1923,600
175,,ACTIVE,,NEW LISTING FOR SALE,1909,
176,,ACTIVE,1,NEW LISTING FOR SALE,1939,5924
177,,ACTIVE,,FOR SALE,1939,4824
178,,ACTIVE,4,FOR SALE PRICE REDUCED,1899,576
179,,ACTIVE,4,OPEN HOUSE FOR SALE,2363,
180,,ACTIVE,,FOR SALE PRICE REDUCED,1910,
181,,ACTIVE,,FOR SALE,1920,949
182,,ACTIVE,,FOR SALE,1899,434
183,,ACTIVE,,FOR SALE,1911,2149
184,,ACTIVE,2,OPEN HOUSE FOR SALE,1976,
185,,,,FOR SALE,2015,
186,175,ACTIVE,2,NEW LISTING FOR SALE,2009,1731
187,19,ACTIVE,,NEW LISTING FOR SALE,2002,1186
188,,ACTIVE,2,SALE UNDER CONTRACT,1906,
189,,ACTIVE,,SALE UNDER CONTRACT,1906,
190,,ACTIVE,3,FOR SALE,2008,1005
191,,ACTIVE,3,FOR SALE,,2094
192,,ACTIVE,,FOR SALE,1925,305
193,,ACTIVE,1,FOR SALE,2005,2860
194,,ACTIVE,1,FOR SALE,1925,2538
195,,ACTIVE,1,FOR SALE,1910,262
196,,ACTIVE,,FOR SALE,,436
197,,ACTIVE,1,FOR SALE,1901,4201
198,,ACTIVE,2,FOR SALE,2006,625
199,,ACTIVE,2,NEW LISTING FOR SALE,1930,438
200,,,1,FOR SALE,,
201,,ACTIVE,,FOR SALE - ACTIVE,1972,424
202,,ACTIVE,,FOR SALE - ACTIVE,1927,338
203,1100,ACTIVE,,FOR SALE - ACTIVE,2001,350
204,700,ACTIVE,,FOR SALE - ACTIVE,1971,457
205,730,ACTIVE,,FOR SALE - ACTIVE,2002,397
206,1450,ACTIVE,,FOR SALE - ACTIVE,2008,345
207,2879,ACTIVE,,FOR SALE - ACTIVE,1927,677
208,2507,ACTIVE,,FOR SALE - ACTIVE,2024,568
209,860,ACTIVE,,FOR SALE - ACTIVE,1984,
210,1880,ACTIVE,,FOR SALE - ACTIVE,1960,478
211,3270,ACTIVE,,FOR SALE - ACTIVE,1930,336
212,949,ACTIVE,,FOR SALE - ACTIVE,2024,390
213,1065,ACTIVE,,FOR SALE - ACTIVE,2009,704
214,1500,COMING SOON,,COMING SOON ON JUN 25,2024,567
215,1400,COMING SOON,,COMING SOON ON JUL 19,1920,999
216,1889,ACTIVE,,FOR SALE - ACTIVE,1928,740
217,1409,ACTIVE,,FOR SALE - ACTIVE,1971,709
218,2071,ACTIVE,,FOR SALE - ACTIVE,2001,869
219,1106,ACTIVE,,FOR SALE - ACTIVE,2007,325
220,1243,ACTIVE,,FOR SALE - ACTIVE,1958,382
221,1305,ACTIVE,,FOR SALE - ACTIVE,2000,360
222,1924,ACTIVE,,FOR SALE - ACTIVE,1997,251
223,9000,ACTIVE,1,FOR SALE,2024,1111
224,13400,ACTIVE,2,FOR SALE,1885,746
225,10000,ACTIVE,2,NEW LISTING FOR SALE,2007,890
226,,,3,FOR SALE,1885,
227,7800,ACTIVE,1,FOR SALE,1931,997
228,9700,ACTIVE,,FOR SALE,1894,794
229,5500,ACTIVE,,FOR SALE,1929,1364
230,7900,ACTIVE,2,FOR SALE,1995,930
231,5500,ACTIVE,3,FOR SALE,1928,1272
232,4420,ACTIVE,,FOR SALE PRICE REDUCED,2018,1578
233,8700,ACTIVE,1,FOR SALE,2006,793
234,7252,ACTIVE,,NEW LISTING FOR SALE,1997,909
235,11664,ACTIVE,1,FEATURED LISTING,1937,2314
236,165,ACTIVE,,NEW LISTING FOR SALE,2015,7697
237,16,ACTIVE,1,FOR SALE,,2900
238,11664,ACTIVE,1,FOR SALE,2008,3855
239,117,ACTIVE,,FOR SALE,2015,3185
240,17661,ACTIVE,2,FOR SALE PRICE REDUCED,2023,2208
241,3795,ACTIVE,2,FOR SALE,1955,8933
242,11461,ACTIVE,,NEW LISTING FOR SALE,2024,2618
243,13600,ACTIVE,2,FOR SALE,2023,2202
244,49,ACTIVE,,FOR SALE,2017,736
245,,,2,NEW LISTING FOR SALE,1950,
246,2268,ACTIVE,3,FOR SALE,2006,1278
247,5909,ACTIVE,,FOR SALE PRICE REDUCED,1991,338
248,,,1,FOR SALE,1923,600
249,,ACTIVE,,NEW LISTING FOR SALE,1909,
250,,ACTIVE,1,NEW LISTING FOR SALE,1939,5924
251,,ACTIVE,,FOR SALE,1939,4824
252,,ACTIVE,4,FOR SALE PRICE REDUCED,1899,576
253,,ACTIVE,4,OPEN HOUSE FOR SALE,2363,
254,,ACTIVE,,FOR SALE PRICE REDUCED,1910,
255,,ACTIVE,,FOR SALE,1920,949
256,,ACTIVE,,FOR SALE,1899,434
257,,ACTIVE,,FOR SALE,1911,2149
258,,ACTIVE,2,OPEN HOUSE FOR SALE,1976,
259,,,,FOR SALE,2015,
260,175,ACTIVE,2,NEW LISTING FOR SALE,2009,1731
261,19,ACTIVE,,NEW LISTING FOR SALE,2002,1186
262,,ACTIVE,2,SALE UNDER CONTRACT,1906,
263,,ACTIVE,,SALE UNDER CONTRACT,1906,
264,,ACTIVE,3,FOR SALE,2008,1005
265,,ACTIVE,3,FOR SALE,,2094
266,,ACTIVE,,FOR SALE,1925,305
267,,ACTIVE,1,FOR SALE,2005,2860
268,,ACTIVE,1,FOR SALE,1925,2538
269,,ACTIVE,1,FOR SALE,1910,262
270,,ACTIVE,,FOR SALE,,436
271,,ACTIVE,1,FOR SALE,1901,4201
272,,ACTIVE,2,FOR SALE,2006,625
273,,ACTIVE,2,NEW LISTING FOR SALE,1930,438
274,,,1,FOR SALE,,
275,,ACTIVE,,FOR SALE - ACTIVE,1972,424
276,,ACTIVE,,FOR SALE - ACTIVE,1927,338
277,1100,ACTIVE,,FOR SALE - ACTIVE,2001,350
278,700,ACTIVE,,FOR SALE - ACTIVE,1971,457
279,730,ACTIVE,,FOR SALE - ACTIVE,2002,397
280,1450,ACTIVE,,FOR SALE - ACTIVE,2008,345
281,2879,ACTIVE,,FOR SALE - ACTIVE,1927,677
282,2507,ACTIVE,,FOR SALE - ACTIVE,2024,568
283,860,ACTIVE,,FOR SALE - ACTIVE,1984,
284,1880,ACTIVE,,FOR SALE - ACTIVE,1960,478
285,3270,ACTIVE,,FOR SALE - ACTIVE,1930,336
286,949,ACTIVE,,FOR SALE - ACTIVE,2024,390
287,1065,ACTIVE,,FOR SALE - ACTIVE,2009,704
288,1500,COMING SOON,,COMING SOON ON JUN 25,2024,567
289,1400,COMING SOON,,COMING SOON ON JUL 19,1920,999
290,1889,ACTIVE,,FOR SALE - ACTIVE,1928,740
291,1409,ACTIVE,,FOR SALE - ACTIVE,1971,709
292,2071,ACTIVE,,FOR SALE - ACTIVE,2001,869
293,1106,ACTIVE,,FOR SALE - ACTIVE,2007,325
294,1243,ACTIVE,,FOR SALE - ACTIVE,1958,382
295,1305,ACTIVE,,FOR SALE - ACTIVE,2000,360
296,1924,ACTIVE,,FOR SALE - ACTIVE,1997,251
297,9000,ACTIVE,1,FOR SALE,2024,1111
298,13400,ACTIVE,2,FOR SALE,1885,746
299,10000,ACTIVE,2,NEW LISTING FOR SALE,2007,890
300,,,3,FOR SALE,1885,
301,7800,ACTIVE,1,FOR SALE,1931,997
302,9700,ACTIVE,,FOR SALE,1894,794
303,5500,ACTIVE,,FOR SALE,1929,1364
304,7900,ACTIVE,2,FOR SALE,1995,930
305,5500,ACTIVE,3,FOR SALE,1928,1272
306,4420,ACTIVE,,FOR SALE PRICE REDUCED,2018,1578
307,8700,ACTIVE,1,FOR SALE,2006,793
308,7252,ACTIVE,,NEW LISTING FOR SALE,1997,909
309,11664,ACTIVE,1,FEATURED LISTING,1937,2314
310,165,ACTIVE,,NEW LISTING FOR SALE,2015,7697
311,16,ACTIVE,1,FOR SALE,,2900
312,11664,ACTIVE,1,FOR SALE,2008,3855
313,117,ACTIVE,,FOR SALE,2015,3185
314,17661,ACTIVE,2,FOR SALE PRICE REDUCED,2023,2208
315,3795,ACTIVE,2,FOR SALE,1955,8933
316,11461,ACTIVE,,NEW LISTING FOR SALE,2024,2618
317,13600,ACTIVE,2,FOR SALE,2023,2202
318,49,ACTIVE,,FOR SALE,2017,736
319,,,2,NEW LISTING FOR SALE,1950,
320,2268,ACTIVE,3,FOR SALE,2006,1278
321,5909,ACTIVE,,FOR SALE PRICE REDUCED,1991,338
322,,,1,FOR SALE,1923,600
323,,ACTIVE,,NEW LISTING FOR SALE,1909,
324,,ACTIVE,1,NEW LISTING FOR SALE,1939,5924
325,,ACTIVE,,FOR SALE,1939,4824
326,,ACTIVE,4,FOR SALE PRICE REDUCED,1899,576
327,,ACTIVE,4,OPEN HOUSE FOR SALE,2363,
